account_id,account_number,customer_id,branch_id,product_id,account_type,account_status,opening_date,currency
ACC000001,XISG12146394762542,CUST00234,BR0022,PRD008,Loan,Active,7/7/2021,INR
ACC000002,XSUF64563391729940,CUST00759,BR0017,PRD003,Credit Card,Active,9/14/2025,INR
ACC000003,GMSI81126649719670,CUST00522,BR0025,PRD004,Credit Card,Dormant,7/27/2018,INR
ACC000004,NVRH35391016125901,CUST00003,BR0024,PRD005,Current,Dormant,1/15/2020,INR
ACC000005,MYWH99490133344376,CUST00046,BR0019,PRD007,Current,Active,8/15/2023,INR
ACC000006,PVZG48140984101679,CUST00880,BR0024,PRD001,Savings,Active,11/8/2018,INR
ACC000007,GBCI81160499100420,CUST00884,BR0019,PRD002,Current,Active,12/19/2018,INR
ACC000008,EQRN61680199034213,CUST00013,BR0008,PRD004,Credit Card,Active,6/27/2020,INR
ACC000009,IQXK48420353160791,CUST00251,BR0022,PRD007,Savings,Active,11/25/2025,INR
ACC000010,PSDG86015711713219,CUST00048,BR0011,PRD008,Loan,Active,7/10/2021,INR
ACC000011,VJAE47028814112874,CUST00484,BR0017,PRD004,Loan,Dormant,7/24/2019,INR
ACC000012,KEPW19367857646391,CUST00373,BR0017,PRD001,Credit Card,Active,1/17/2026,INR
ACC000013,HRZC07491619423215,CUST00393,BR0023,PRD004,Savings,Active,9/28/2025,INR
ACC000014,JBCW31535069626168,CUST00943,BR0023,PRD008,Current,Active,4/1/2024,INR
ACC000015,ILKF52741025471798,CUST00154,BR0020,PRD002,Current,Active,3/9/2021,INR
ACC000016,TWTI88566948993005,CUST00184,BR0004,PRD009,Savings,Active,4/5/2022,INR
ACC000017,DSUW56756355842271,CUST00954,BR0014,PRD004,Savings,Active,4/9/2024,INR
ACC000018,OEMM25650460700144,CUST00984,BR0022,PRD008,Loan,Closed,11/16/2021,INR
ACC000019,DHAM86240871006689,CUST00879,BR0024,PRD007,Current,Active,6/2/2022,INR
ACC000020,BVIZ17282076238115,CUST00037,BR0008,PRD005,Credit Card,Active,12/2/2025,INR
ACC000021,ZVFE32822282408475,CUST00567,BR0016,PRD006,Current,Active,9/20/2024,INR
ACC000022,EQGL99940041084791,CUST00823,BR0012,PRD003,Loan,Active,12/9/2021,INR
ACC000023,HLZD13505357228920,CUST00936,BR0022,PRD001,Savings,Active,3/12/2023,INR
ACC000024,ZNJD57809783028010,CUST00732,BR0022,PRD009,Current,Closed,11/5/2020,INR
ACC000025,JDTJ53419528144786,CUST00759,BR0021,PRD009,Savings,Active,12/18/2024,INR
ACC000026,ZOJX28021889306357,CUST00672,BR0013,PRD002,Current,Active,10/31/2023,INR
ACC000027,RUWA37891213974369,CUST00430,BR0005,PRD005,Credit Card,Closed,1/26/2023,INR
ACC000028,SAKK85575994084290,CUST00230,BR0018,PRD008,Credit Card,Active,2/21/2024,INR
ACC000029,NTNS04528986061065,CUST00330,BR0020,PRD005,Current,Active,5/21/2025,INR
ACC000030,NOHH74570165276136,CUST00255,BR0002,PRD004,Current,Active,2/2/2020,INR
ACC000031,VRCJ98025308437699,CUST00427,BR0001,PRD006,Savings,Active,4/15/2024,INR
ACC000032,FUTM44477250842324,CUST00938,BR0021,PRD001,Savings,Active,12/26/2019,INR
ACC000033,FGJQ00417241553691,CUST00738,BR0006,PRD004,Loan,Dormant,12/2/2020,INR
ACC000034,KRKK74906279602425,CUST00328,BR0017,PRD002,Loan,Active,1/11/2026,INR
ACC000035,OBHY33295945231582,CUST00278,BR0016,PRD004,Current,Dormant,10/11/2019,INR
