customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,city,state,country,customer_segment,kyc_verified,onboarding_date
CUST00001,Alan,Kim,Other,1949-10-18,kellyruiz@example.net,837-370-2851,Lake Elainefort,Oregon,India,SME,True,2023-08-29
CUST00002,Lisa,Gonzales,Female,1962-05-07,jessica82@example.net,659-740-8215,Smallland,South Carolina,India,SME,True,2019-03-20
CUST00003,Kevin,Mills,Male,2004-12-15,destiny35@example.org,947-202-2960x4432,Bakerton,Florida,India,SME,True,2017-01-08
CUST00004,Elizabeth,Moore,Male,1954-03-14,robert55@example.com,985-710-6794,Jaredmouth,Alabama,India,Corporate,True,2024-08-14
CUST00005,Sheila,Watson,Other,1961-11-27,steven17@example.org,(879)822-8777x2519,East Jeremystad,Missouri,India,Retail,False,2018-12-21
CUST00006,Dennis,Campbell,Female,2006-02-18,kennedyjames@example.org,265.680.7412,East Fernandoside,Nebraska,India,Premium,True,2022-08-14
CUST00007,Darrell,Ortiz,Female,2006-06-01,amoreno@example.org,+1-518-913-9890,Robertmouth,Montana,India,Corporate,True,2024-05-09
CUST00008,Daniel,Morgan,Female,1960-05-11,derrickgonzalez@example.com,701.882.0433x97189,South Karen,California,India,Corporate,True,2020-10-18
CUST00009,Angela,Harper,Male,1987-10-19,tthomas@example.org,001-707-805-6260,East James,New Jersey,India,SME,True,2023-05-14
CUST00010,Joseph,Mccormick,Male,1973-12-06,freemancrystal@example.org,611-818-2422x412,New Laura,Oregon,India,Retail,True,2021-02-04
CUST00011,Cassandra,Holland,Female,1979-09-14,cynthia07@example.com,+1-720-695-2004x61526,East Allenmouth,Pennsylvania,India,Premium,False,2020-05-22
CUST00012,Jennifer,Jones,Male,1957-01-10,kathleenjackson@example.org,(610)233-9937x8861,Berryville,Nebraska,India,Corporate,True,2020-04-27
CUST00013,James,Davis,Male,1966-02-11,xglover@example.org,578-461-7063x04891,East Natalie,Idaho,India,Premium,True,2019-11-18
CUST00014,Cynthia,Gregory,Female,1996-01-24,christinaschultz@example.com,896-971-8325x8238,North Jeffrey,Illinois,India,SME,True,2024-11-14
CUST00015,Joseph,Mitchell,Male,1967-04-06,ysanford@example.org,6076942007,Rickymouth,Minnesota,India,Retail,True,2024-02-12
CUST00016,Tracy,Cummings,Female,1948-04-14,fergusonjessica@example.org,+1-865-339-8402x89141,Lake Heatherchester,Missouri,India,Premium,True,2020-05-28
CUST00017,Rebecca,Douglas,Female,1978-11-19,katherine83@example.org,(684)963-9855,Diaztown,South Carolina,India,Premium,False,2017-12-23
CUST00018,Meghan,Escobar,Other,1980-10-24,simsjohn@example.net,935-253-7950x209,Chaseberg,Pennsylvania,India,Corporate,False,2024-02-15
CUST00019,Christopher,Marks,Female,1977-08-23,larry16@example.net,2269876811,Lynchstad,Rhode Island,India,Premium,True,2018-09-29
CUST00020,Rodney,Cook,Male,1986-11-24,gary04@example.com,+1-215-569-5620x17537,Johnton,Texas,India,Retail,True,2020-03-07
CUST00021,Joshua,Aguilar,Other,1977-12-12,mluna@example.net,001-604-953-1943x3750,West Darlene,Georgia,India,Retail,True,2023-10-13
CUST00022,Adam,Thomas,Female,2005-05-06,ryan25@example.com,001-593-403-6149x872,North Christian,Pennsylvania,India,Premium,True,2022-07-02
CUST00023,Kellie,Bailey,Other,1971-12-07,karen26@example.org,692-512-4938,East Jessica,West Virginia,India,Corporate,True,2019-10-01
CUST00024,Dana,Ponce,Male,1988-09-16,jeffreymercer@example.org,+1-308-994-8706x05664,Lisaburgh,Rhode Island,India,Corporate,False,2024-02-28
CUST00025,Jose,Hale,Female,1970-05-10,lawrencegary@example.com,558.703.0468x7506,North Jay,Washington,India,SME,True,2023-10-29
CUST00026,Joyce,Myers,Male,1960-05-08,brooksdanielle@example.net,790-636-1332,North David,Oklahoma,India,Retail,True,2020-03-03
